UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
13618,Z01.02.01,Porchlight Music Theatre,Porchlight Music Theatre,Make Your Own Musical Summer Camp,100,0.04%,26,"$1,046 ",100.00%,Reliable: Best in Class,,Enhance Arts Appreciation,"$27,200 ",26 individuals,Program
13619,Z12.01.03,SGA Youth and Family Services…,"SGA Youth and Family Services, NFP",SGA’s Youth Justice Intervention Program,657,0.41%,657,"$1,792 ",90.00%,Needs Improvement,,Reduce Criminal Recidivism,"$1,177,018 ",730 individuals,Program
13620,Z08.04.05,Cabrini Green Legal Aid,Cabrini Green Legal Aid,Purple Purse Pathways to Employment,100,0.07%,7,"$2,857 ",100.00%,Needs Improvement,,Acquire Employment,"$20,000 ",7 individuals,Program
13627,Z08.04.01,YWCA Nashville & Middle Tenne…,YWCA Nashville & Middle Tennessee,AMEND Together,548,0.38%,548,"$1,059 ",80.90%,Reliable: Best in Class,,None Listed,"$580,516 ",677 individuals,Program
13629,Z12.01.04,Young Chicago Authors,Young Chicago Authors,Louder Than A Bomb Chicago Youth Poetry Festival,654,0.41%,654,$614 ,87.00%,Reliable,,Strengthen Individual Creativity Skills; Expose New Artistic Talent; Enhance Arts Appreciation; Reach Diverse Audiences,"$401,840 ",752 individuals,Program
13631,Z01.01.01,Lookingglass Theatre Company,Lookingglass Theatre Company,Youth Engagement Program Sponsorship,898,0.34%,898,$95 ,90.00%,Needs Improvement,,Reach Diverse Audiences,"$85,556 ",998 individuals,Program
13641,Z01.02.01,Urban Gateways,Urban Gateways,Mild Sauce: A News and Lifestyle Source by and for Chicago Youth.,350,0.13%,350,$351 ,100.00%,Needs Improvement,,Strengthen Creative Community; Develop Technological Skills; Job Readiness; Civic Engagement; Reduce Risky Behavior,"$122,800 ",350 individuals,Program
13645,Z03.03.01,Meals of Hope,Meals of Hope,Food Pantries for Seniors,400,0.10%,400,$252 ,80.00%,Needs Improvement,,Aging Awareness and Social Support; Housing Stability; Emergency Supply and Distribution of Food,"$100,898 ",500 individuals,Program
13647,Z08.01.01,"PANIRA Healthcare Clinic, Inc.","PANIRA Healthcare Clinic, Inc.",Expanding Free Clinic Services in Collier,225,0.16%,225,$289 ,90.00%,Needs Improvement,,Manage Mental Health; Patient Quality of Life; Awareness of Ailment or Condition; Care Management; Reduce Stigma,"$65,000 ",250 individuals,Program
13655,Z06.05.04,Rush University System for He…,Rush University System for Health,Rush Education and Career Hub MedSTEM Pathways Program,176,0.07%,176,"$4,261 ",88.00%,Reliable: Best in Class,,Job Readiness; College Access and Readiness; STEM Interest; Academic Habits of Mind; Organizational Efficiency,"$750,000 ",200 individuals,Program
13659,Z06.02.02,Ounce of Prevention Fund,Ounce of Prevention Fund,Educare Chicago,100,0.04%,81,"$86,420 ",22.80%,Reliable: Best in Class,,Social Competence; Positive School Environment; Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains; Development of Tools for Active Learning,"$7,000,000 ",355 individuals,Program
13660,Z06.02.02,HANA Center,HANA Center,HANA Early Childhood Center,100,0.04%,67,$1 ,87.00%,Needs Improvement,,Oral Language and Emergent Literacy Gains,$1 ,77 individuals,Program
13674,Z03.03.01,Community Development Council…,Community Development Council of Quiinte,Good Food Market Program,750,0.19%,750,$200 ,100.00%,Needs Improvement,,None Listed,"$150,000 ",750 households,Program
13675,Z01.02.01,The Centre for Aboriginal (On…,The Centre for Aboriginal (Ontario) o/a imagineNATIVE,Screenwriting Intensive and Grow Professional Development,100,0.04%,4,"$14,000 ",50.00%,Needs Improvement,,Strengthen Individual Creativity Skills,"$56,000 ",8 individuals,Program
13676,Z05.03.06,Employment + Education Centre,Employment + Education Centre,Homeward Bound,100,0.05%,49,"$4,010 ",98.00%,Needs Improvement,,None Listed,"$196,500 ",50 individuals,Program
13677,Z08.02.02,Ve'ahavta,Ve'ahavta,Building Foundations for Women,100,0.07%,30,"$9,167 ",100.00%,Reliable: Best in Class,,Mental and Physical Well-Being; Social Competence; Personal Well-Being,"$275,000 ",30 individuals,Program
13678,Z01.01.01,White Buffalo Road Healing Lo…,White Buffalo Road Healing Lodge Inc.,White Buffalo Road Healing Lodge,100,0.04%,30,"$1,667 ",100.00%,Needs Improvement,,None Listed,"$50,000 ",30 individuals,Program
13681,Z01.02.01,Talk Is Free Theatre,Talk Is Free Theatre,Youth Mentorship,100,0.04%,57,"$3,421 ",90.50%,Needs Improvement,,None Listed,"$195,000 ",63 individuals,Program
13682,Z01.01.02,Unity Charity,Unity Charity,Unity Day,5000,1.90%,"6,184",$78 ,100.00%,Needs Improvement,,Access to Services and Supports,"$480,000 ","6,184 individuals",Program
13683,Z01.01.02,Toronto Ward Museum Inc.,Toronto Ward Museum Inc.,Block by Block,338,0.13%,338,$701 ,100.00%,Needs Improvement,,Social and Emotional Skills; Enhance Arts Appreciation; Strengthen Creative Community; Strengthen Individual Creativity Skills; Cultural Tolerance,"$237,000 ",338 individuals,Program
13684,Z12.01.04,Chicago Lions Charitable Asso…,Chicago Lions Charitable Association,Chicago Lions Youth and Community Rugby,161,0.10%,161,$826 ,70.00%,Needs Improvement,,Physical Fitness; Reduce Obesity; Reduce Risky Behavior; Development of Tools for Active Learning,"$133,000 ",230 individuals,Program
13686,Z01.01.02,Chicago Humanities Festival,Chicago Humanities Festival,Allstate Insurance Company Program - Jesselyn Silva: In the Ring,300,0.11%,300,$75 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$22,635 ",300 individuals,Program
13688,Z08.04.05,UIC John Marshall Law School,UIC John Marshall Law School,Economic Empowerment Project at UIC John Marshall Law School's Domestic Violence Clinic,100,0.07%,42,"$1,082 ",100.00%,Needs Improvement,,None Listed,"$45,440 ",42 individuals,Program
13691,Z01.02.01,Gene Siskel Film Center of th…,Gene Siskel Film Center of the School of the Art Institute of Chicago,Black Harvest Film Festival Best of Black Harvest West and the Allstate Youth Filmmakers Program,202,0.08%,202,$201 ,100.00%,Needs Improvement,,Expose New Artistic Talent,"$40,695 ",202 individuals,Program
13697,Z05.04.02,VeteransPlus,VeteransPlus,Operation Economic Compass,5000,2.41%,"125,000",$10 ,94.00%,Reliable: Best in Class,,None Listed,"$1,200,000 ","133,000 individuals",Program
13702,Z12.01.04,Art Starts,Art Starts,Animating Impact,400,0.25%,400,$410 ,100.00%,Needs Improvement,,Strengthen Creative Community; Independent Living Skills,"$164,000 ",400 individuals,Program
13703,Z05.04.03,Neighborhood Trust Financial …,Neighborhood Trust Financial Partners,Trusted Advisor,669,0.32%,669,"$5,486 ",55.90%,Reliable,,None Listed,"$3,670,412 ","1,197 individuals",Program
13704,Z05.03.06,Newark Alliance,Newark Alliance,Diesel Technician Training Pilot,100,0.05%,12,"$20,892 ",92.30%,Reliable,,None Listed,"$250,705 ",13 individuals,Program
13705,Z06.05.01,"YouthBuild USA, Inc. dba Yout…","YouthBuild USA, Inc. dba YouthBuild International",Developing Alternative High School Pathways for At-Risk Mexican Youth,290,0.12%,290,$690 ,96.70%,Reliable,,Career Access and Readiness,"$200,000 ",300 individuals,Program
13706,Z08.07.02,Boys & Girls Club of Newark I…,Boys & Girls Club of Newark Inc,Triple Play,800,0.55%,800,$729 ,100.00%,Needs Improvement,,Prevent Gang Participation; Healthy Food Consumption and Behaviour; Academic Habits of Mind; Healthy Food Consumption and Behaviour; Reduce Obesity,"$583,084 ",800 individuals,Program
13709,Z05.03.06,LeadersUp,LeadersUp,Future @ Work Hiring Summit,206,0.10%,206,"$4,126 ",17.50%,Reliable,,Acquire Employment; Job Readiness,"$850,000 ","1,178 individuals",Program
13714,Z06.05.02,Moneythink,Moneythink,College Financial Coaching,1740,0.70%,"1,740",$545 ,87.00%,Reliable,,Financial Literacy,"$947,763 ","2,000 individuals",Program
13716,Z05.02.01,University of Hartford,University of Hartford,Small Business Technical Assistance Program,100,0.05%,23,"$3,261 ",71.90%,Reliable,,Stimulate Entrepreneurship,"$75,000 ",32 organizations,Program
13718,Z06.05.04,"Year Up, Inc.","Year Up, Inc.",Year Up,2899,1.16%,"2,899","$45,188 ",70.70%,Needs Improvement,,Acquire Employment; Career Access and Readiness; College Access and Readiness; Independent Living Skills,"$131,000,000 ","4,099 individuals",Program
13720,Z05.03.01,Lakeside HOPE House,Lakeside HOPE House,Circles,100,0.05%,24,"$2,917 ",55.80%,Needs Improvement,,"Acquire Employment; Acuqire Full-time, Non-Seasonal Employment","$70,000 ",43 households,Program
13721,Z05.02.03,Greater Newark Enterprises Co…,Greater Newark Enterprises Corporation (GNEC),MWDB Business Enhancement Program,229,0.11%,229,"$1,250 ",35.00%,Reliable: Best in Class,,Business Growth; Job Creation; Financial Literacy,"$286,325 ",654 individuals,Program
13723,Z05.03.05,"HEDCO, Inc","HEDCO, Inc",OSHA Training Program,100,0.05%,38,$237 ,100.00%,Needs Improvement,,"Stimulate Entrepreneurship; Acuqire Full-time, Non-Seasonal Employment","$9,000 ",38 individuals,Program
13724,Z03.04.01,LISC,LISC,Promoting Affordable Housing Development in Hartford,100,0.03%,6,"$176,872 ",100.00%,Needs Improvement,,None Listed,"$1,061,229 ",6 organizations,Program
13726,Z06.05.04,"Our Piece of the Pie, Inc.","Our Piece of the Pie, Inc.",Career Competency Development Training (CCDT),670,0.27%,670,$288 ,70.50%,Needs Improvement,,Acquire Employment,"$193,000 ",950 individuals,Program
13734,Z12.01.01,U.S.-Japan Council,U.S.-Japan Council,Regional Impact for Social Empowerment (RISE) Leadership Program,100,0.06%,25,"$4,000 ",100.00%,Reliable,,Social and Emotional Skills; Strengthen Innovation Skills,"$100,000 ",25 individuals,Program
13738,Z05.04.02,SaverLife,SaverLife,Starter Savings Program,5000,2.41%,"105,307",$20 ,65.00%,Reliable,,Financial Resilience; Financial Resilience,"$2,083,997 ","162,086 individuals",Program
13740,Z06.05.01,La Casa de Don Pedro,La Casa de Don Pedro,Opportunity Youth Network,100,0.04%,15,"$13,333 ",60.00%,Reliable,,None Listed,"$200,000 ",25 individuals,Program
13748,Z10.02.01,Trout Lake Nature Center,Trout Lake Nature Center,Environmental Education,5000,6.08%,"20,800",$6 ,80.00%,Needs Improvement,,STEM Interest; Environmental Awareness,"$125,000 ","26,000 individuals",Program
13750,Z03.03.02,Edible Education Experience,Edible Education Experience,OJA 18-week Edible Education Experience,100,0.03%,80,$375 ,100.00%,Reliable: Best in Class,,"Healthy Food Consumption and Behaviour; Improved Academic Attitudes, Beliefs, and Motivations","$30,000 ",80 households,Program
13751,Z01.01.01,Friends of the Mennello Museu…,Friends of the Mennello Museum of American Art,Free Family Funday,1726,0.66%,"1,726",$5 ,80.00%,Needs Improvement,,Reach Diverse Audiences,"$8,250 ","2,158 individuals",Program
13752,Z03.02.01,Center for Independent Living…,"Center for Independent Living in Central Florida, Inc.",Deaf Services,247,0.06%,247,$810 ,63.00%,Needs Improvement,,Social Competence,"$200,000 ",392 individuals,Program
13753,Z06.05.02,Big Brothers Big Sisters Lone…,Big Brothers Big Sisters Lone Star,Big Brothers Big Sisters mentor2.0,783,0.31%,783,$921 ,87.00%,Reliable,,Social and Emotional Skills,"$721,268 ",900 individuals,Program
13754,Z08.02.02,"Heavenly Hoofs, DBA McCormick…","Heavenly Hoofs, DBA McCormick Research Institute",Horses & Heroes,100,0.07%,90,"$4,167 ",90.00%,Reliable: Best in Class,,Access to Services and Supports,"$375,000 ",100 individuals,Program
13755,Z12.01.03,Children's Safety Village of …,Children's Safety Village of Central Florida Inc.,Children's Safety Educational Programs,2501,1.56%,"2,501",$26 ,100.00%,Needs Improvement,,None Listed,"$64,000 ","2,501 individuals",Program
13759,Z05.04.02,"NCBW of 100 INC, M.A.C","NCBW of 100 INC, M.A.C",Sisters Helping Sisters,384,0.19%,384,$104 ,100.00%,Needs Improvement,,"Survivor Well-being, Independence, and Financial Empowerment","$40,000 ",384 individuals,Program
13765,Z12.01.04,Gene Siskel Film Center of th…,Gene Siskel Film Center of the School of the Art Institute of Chicago,Allstate Youth Filmmaker Workshop,100,0.06%,15,"$1,598 ",60.00%,Needs Improvement,,Strengthen Individual Creativity Skills,"$23,970 ",25 individuals,Program
13766,Z01.01.02,Gene Siskel Film Center of th…,Gene Siskel Film Center of the School of the Art Institute of Chicago,Black Harvest Film Festival West Side Showcase,179,0.07%,179,$54 ,100.00%,Reliable,,Ethnic or Religious Pride,"$9,590 ",179 individuals,Program
13767,Z03.04.03,Pathway Homes of Florida Inc,Pathway Homes of Florida Inc,Pathway Homes of Florida Case Management,100,0.03%,99,"$9,524 ",85.30%,Reliable,,None Listed,"$942,886 ",116 individuals,Program
13768,Z08.02.03,Mental Health Association of …,Mental Health Association of Central Florida,My Story Matters,100,0.07%,39,$513 ,78.00%,Needs Improvement,,None Listed,"$20,000 ",50 individuals,Program
13769,Z06.02.02,Winter Park Day Nursery,Winter Park Day Nursery,Preschool Program,100,0.04%,78,"$13,303 ",95.10%,Reliable: Best in Class,,Development of Tools for Active Learning,"$1,037,620 ",82 individuals,Program
13770,Z01.02.03,International Fringe Festival…,"International Fringe Festival of Central Florida, Inc.",Orlando International Fringe Theatre Festival,2400,0.91%,"2,400",$533 ,100.00%,Needs Improvement,,Enhance Arts Appreciation; Expose New Artistic Talent; Reach Diverse Audiences; Strengthen Individual Creativity Skills,"$1,278,586 ","2,400 individuals",Program
13771,Z01.02.01,A Gift For Teaching,A Gift For Teaching,A Gift For Music,316,0.12%,316,$405 ,100.00%,Needs Improvement,,Social and Emotional Skills; Enhance Arts Appreciation; Strengthen Individual Creativity Skills,"$128,000 ",316 individuals,Program
13772,Z06.01.03,A Gift For Teaching,A Gift For Teaching,Free Teacher Supply Store and Pencil Boy Programs,208,0.08%,208,"$3,131 ",99.00%,Reliable,,"Effective Teachers; Positive School Environment; Improved Academic Attitudes, Beliefs, and Motivations","$651,000 ",210 individuals,Program
13773,Z01.01.02,Chicago Architecture Biennial,Chicago Architecture Biennial,2019 Chicago Architecture Biennial,5000,1.90%,"250,000",$2 ,50.00%,Needs Improvement,,Enhance Arts Appreciation,"$550,000 ","500,000 individuals",Program
13774,Z12.01.01,Centre R.I.R.E. 2000,Centre R.I.R.E. 2000,"Du Monde à connaitre à travers le jumelage, stage francisation en entreprise et symbiose des valeurs",220,0.14%,220,$932 ,88.00%,Reliable,,Social and Emotional Skills; Independent Living Skills,"$205,000 ",250 individuals,Program
13784,Z04.03.15,Festival des traditions du mo…,Festival des traditions du monde de Sherbrooke,"Carrefour multiculturel, place aux échanges du Festival des traditions du monde de Sherbrooke",5000,8.25%,"68,640",$1 ,100.00%,Needs Improvement,,Reach Diverse Audiences,"$98,195 ","68,640 individuals",Program
13785,Z04.02.03,SADC région de Coaticook,SADC région de Coaticook,Inter-Action,100,0.16%,55,$686 ,70.50%,Needs Improvement,,Job Readiness; Job Creation,"$37,729 ",78 individuals,Program
13787,Z06.04.02,Young Women's Christian Assoc…,Young Women's Christian Association El Paso del Norte Region,After School STEM Program,1670,0.67%,"1,670","$1,717 ",74.20%,Reliable: Best in Class,,"Improved Academic Performance; Improved Academic Attitudes, Beliefs, and Motivations","$2,867,011 ","2,252 individuals",Program
13791,Z12.01.04,BRICK Education Network,BRICK Education Network,South Ward Children's Alliance (SWCA) Family Hub,430,0.27%,430,"$1,452 ",63.10%,Needs Improvement,,Emergency Supply and Distribution of Food; Access to Temporary Housing; Social and Emotional Gains; Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains,"$624,360 ",681 individuals,Program
13794,Z12.01.04,Carole Robertson Center for L…,Carole Robertson Center for Learning,CRCL OST: Summer camp,100,0.06%,60,"$4,167 ",50.00%,Needs Improvement,,None Listed,"$250,000 ",120 individuals,Program
13804,Z01.02.02,City of Chicago Department of…,City of Chicago Department of Cultural Affairs & Special Events,"2019 Jazz Festival, YAS! Festival, and Rising Star Awards",150,0.06%,150,$900 ,50.00%,Needs Improvement,,Expose New Artistic Talent; Strengthen Creative Community,"$135,000 ",300 organizations,Program
13805,Z12.01.01,WE Charity,WE Charity,WE Schools,5000,3.11%,"216,900",$15 ,100.00%,Needs Improvement,,Social and Emotional Skills; Academic Habits of Mind,"$3,231,250 ","216,900 individuals",Program
13808,Z01.02.01,Gene Siskel Film Center of th…,Gene Siskel Film Center of the School of the Art Institute of Chicago,The Allstate Youth Filmmakers Workshop,100,0.04%,22,$930 ,100.00%,Needs Improvement,,None Listed,"$20,466 ",22 individuals,Program
13809,Z01.01.02,Gene Siskel Film Center of th…,Gene Siskel Film Center of the School of the Art Institute of Chicago,Best of Black Harvest Film Festival Westside Showcase (Best of Black Harvest West),179,0.07%,179,$113 ,100.00%,Reliable,,Enhance Arts Appreciation,"$20,227 ",179 individuals,Program
13820,Z08.04.05,YWCA USA,YWCA USA,2019 Allstate Moving Ahead Grant Program,685,0.47%,685,$241 ,79.80%,Needs Improvement,,Financial Resilience,"$165,000 ",858 individuals,Program
13821,Z06.05.04,Braven,Braven,Braven - Newark,100,0.04%,59,"$3,790 ",75.60%,Reliable,,Career Access and Readiness; College Persistence and Completion,"$223,583 ",78 individuals,Program
13822,Z06.03.03,Pratham Education Foundation,Pratham Education Foundation,Second Chance,2419,0.97%,"2,419","$903,506 ",64.60%,Reliable,,None Listed,"$2,185,580,113 ","3,742 individuals",Program
13841,Z04.02.04,Alberta Recreation and Parks …,Alberta Recreation and Parks Association,Okotok Indigenous River Camp,100,0.16%,100,"$1,500 ",100.00%,Needs Improvement,,Cultural Educational Experiences; Cultural Tolerance; Ethnic or Religious Pride,"$150,000 ",100 individuals,Program
13842,Z01.01.02,Vancouver Asian Heritage Mont…,Vancouver Asian Heritage Month Society,explorASIAN festival,5000,1.90%,"15,000",$3 ,100.00%,Needs Improvement,,Enhance Arts Appreciation; Expose New Artistic Talent,"$44,855 ","15,000 individuals",Program
13843,Z05.03.05,AFP Foundation for Philanthro…,AFP Foundation for Philanthropy - Canada,Fellowship In Inclusion and Philanthropy,100,0.05%,18,"$7,444 ",90.00%,Reliable,,Organizational Effectiveness,"$134,000 ",20 individuals,Program
13844,Z04.02.03,Armenian Holy Apostolic Churc…,Armenian Holy Apostolic Church Canadian Diocese,Celebrating Our Diversity Now,273,0.45%,273,$782 ,96.10%,Reliable,,Civic Engagement,"$213,433 ",284 individuals,Program
13845,Z01.02.03,Africa Festival of Arts and C…,Africa Festival of Arts and Culture Society (AFACS),Inter-Action,200,0.08%,200,$405 ,100.00%,Needs Improvement,,Strengthen Individual Creativity Skills,"$81,000 ",200 individuals,Program
13846,Z04.02.04,Iranian-Canadian Centre for A…,Iranian-Canadian Centre for Art and Culture,Nowruz Festival 2019,5000,8.25%,"13,500",$36 ,90.00%,Needs Improvement,,Enhance Arts Appreciation; Reach Diverse Audiences; Ethnic or Religious Pride,"$484,000 ","15,000 individuals",Program
13856,Z03.03.01,End 68 Hours of Hunger,End 68 Hours of Hunger,Ending Weekend Hunger in Dover NH,3500,0.91%,"3,500",$26 ,100.00%,Needs Improvement,,None Listed,"$90,000 ","3,500 individuals",Program
13860,Z03.04.03,Rebuilding Together Philadelp…,Rebuilding Together Philadelphia,Block Builds 2018,100,0.03%,88,"$10,471 ",100.00%,Reliable: Best in Class,,None Listed,"$921,428 ",88 households,Program
13866,Z03.03.01,St. Mary's Food Bank,St. Mary's Food Bank,Food Distribution Program,5000,1.29%,"300,000",$55 ,100.00%,Needs Improvement,,None Listed,"$16,391,189 ","300,000 individuals",Program
13874,Z05.03.01,Hack the Hood,Hack the Hood,Hack the Hood Bootcamp,100,0.05%,58,"$6,793 ",96.70%,Reliable: Best in Class,,Social and Emotional Skills; Job Readiness,"$394,000 ",60 individuals,Program
13875,Z06.04.02,Gladesmore Community School,Gladesmore Community School,Booster Tuition in Mathematics,235,0.09%,235,$194 ,97.90%,Reliable,,School Engagement and Persistence; Academic Habits of Mind,"$45,690 ",240 individuals,Program
13878,Z10.02.02,Trees for Life,Trees for Life,Glen Affric Forest Restoration Project,100,0.12%,25,"$1,000 ",100.00%,Needs Improvement,,Conservation Awareness and Responsibility; Reduce National Environmental Impact,"$25,000 ",25 other,Program
13880,Z05.03.01,NAF,NAF,NAFTrack,5000,2.41%,"15,147",$199 ,14.50%,Needs Improvement,,High School Completion,"$3,013,757 ","104,261 individuals",Program
13882,Z12.01.04,KELY Support Group,KELY Support Group,Moody's RiseUp,100,0.06%,24,"$2,083 ",70.60%,Reliable: Best in Class,,Strengthen Individual Creativity Skills,"$50,000 ",34 individuals,Program
13883,Z06.04.02,Hetrick-Martin Institute,Hetrick-Martin Institute,Queer Coders,100,0.04%,18,"$4,278 ",94.70%,Needs Improvement,,Community Safety; Develop Affordable Permanent Housing; STEM Persistence,"$77,000 ",19 individuals,Program
13892,Z05.02.01,The Fore (operating under The…,The Fore (operating under The Bulldog Trust),Pioneering programme to support dynamic early stage charities and social enterprises,100,0.05%,47,"$35,015 ",100.00%,Needs Improvement,,Organizational Reach,"$1,645,720 ",47 organizations,Program
13896,Z05.03.01,NFTE (Network for Teaching En…,NFTE (Network for Teaching Entrepreneurship),World Series of Innovation,383,0.18%,383,$783 ,58.90%,Needs Improvement,,Civic Engagement; Social and Emotional Skills; Career Access and Readiness,"$300,000 ",650 individuals,Program
13902,Z06.03.03,"House of Bread, Inc.","House of Bread, Inc.",Kids Cafe,520,0.21%,520,$188 ,86.70%,Needs Improvement,,Access to Nutritious Food; Healthy Food Consumption and Behaviour; Academic Habits of Mind,"$98,000 ",600 individuals,Program
13903,Z03.03.01,House of Bread,House of Bread,Kids Cafe,650,0.17%,650,$149 ,100.00%,Needs Improvement,,Healthy Food Consumption and Behaviour,"$97,000 ",650 individuals,Program
13904,Z03.03.01,People's Emergency Center,People's Emergency Center,Community Food Cupboard and Healthy Eating Initiative,5000,1.29%,"14,577",$3 ,100.00%,Needs Improvement,,Emergency Supply and Distribution of Food; Healthy Food Consumption and Behaviour,"$45,000 ","14,577 individuals",Program
13907,Z05.02.03,Hispanic Business Initiative …,"Hispanic Business Initiative Fund of Florida Inc., dba Prospera",Prospera Hispanic Entrepreneur Program,5000,2.41%,"5,000",$622 ,100.00%,Needs Improvement,,Business Growth,"$3,111,400 ","5,000 individuals",Program
13908,Z06.05.04,The Foundation for Osceola Ed…,"The Foundation for Osceola Education, Inc.",Career Pipelines,800,0.32%,800,$125 ,29.60%,Reliable: Best in Class,,Acquire Employment; Job Readiness; STEM Interest; STEM Proficiency; STEM Persistence,"$100,000 ","2,700 individuals",Program
13909,Z06.03.03,The Foundation for Osceola Ed…,"The Foundation for Osceola Education, Inc.",Bookmark Buddies,480,0.19%,480,$223 ,96.00%,Reliable,,Improved Academic Performance,"$107,000 ",500 individuals,Program
13911,Z03.03.01,"Share Food Program, Inc","Share Food Program, Inc",Expanding Healthy Food Access,5000,1.29%,"15,000",$6 ,100.00%,Needs Improvement,,None Listed,"$90,000 ","15,000 individuals",Program
13916,Z03.03.01,Aging & In-Home Services of N…,Aging & In-Home Services of Northeast Indiana,Meals on Wheels - Home Delivered Meals,919,0.24%,919,$723 ,100.00%,Needs Improvement,,Aging Awareness and Social Support; Physical Well-Being; Emergency Supply and Distribution of Food; Healthy Food Consumption and Behaviour,"$664,000 ",919 individuals,Program
13917,Z06.01.04,The Foundation for Osceola Ed…,The Foundation for Osceola Education,A Gift For Teaching: Free Teacher Store,100,0.04%,67,"$2,284 ",100.00%,Needs Improvement,,Equitable Education,"$153,059 ",67 organizations,Program
13920,Z04.02.03,L'Anonyme U.I.M.,L'Anonyme U.I.M.,Explorer la diversité,223,0.37%,223,$677 ,83.80%,Reliable,,Social and Emotional Skills; Civic Engagement,"$150,982 ",266 individuals,Program
13922,Z04.03.09,Volunteer Lawyer Program of N…,"Volunteer Lawyer Program of Northeast Indiana, Inc.","Volunteer Lawyer Program of Northeast Indiana, Inc.",2043,3.37%,"2,043",$144 ,100.00%,Needs Improvement,,Societal Participation,"$295,000 ","2,043 individuals",Program
13923,Z03.04.03,Habitat for Humanity Philadel…,Habitat for Humanity Philadelphia,FY19 Home Repair Program,100,0.03%,55,"$31,200 ",100.00%,Reliable: Best in Class,,None Listed,"$1,715,995 ",55 households,Program
13925,Z03.03.02,MANNA,MANNA,Medical Nutrition for People with Critical Illnesses,3738,0.97%,"3,738","$1,538 ",97.00%,Reliable,,Care Management; Access to Nutritious Food,"$5,749,215 ","3,854 individuals",Program
13926,Z05.03.01,"The Arc of Northeast Indiana,…","The Arc of Northeast Indiana, dba Easterseals Arc of Northeast Indiana",Employment Services,650,0.31%,650,$865 ,87.80%,Reliable,,None Listed,"$562,170 ",740 individuals,Program
13941,Z03.03.01,Mercy Housing & Shelter Corpo…,Mercy Housing & Shelter Corporation,Human Services,3500,0.91%,"3,500",$656 ,77.80%,Needs Improvement,,Access to Nutritious Food; Housing Stability,"$2,294,883 ","4,500 individuals",Program
13944,Z03.03.01,Foodshare,Foodshare,2019 Mobile Foodshare- Hartford,5000,1.29%,"68,850",$7 ,100.00%,Needs Improvement,,Emergency Supply and Distribution of Food,"$487,173 ","68,850 individuals",Program
13945,Z03.05.03,Bethesda Project,Bethesda Project,Bethesda Project - Housing Program,139,0.04%,139,"$13,589 ",93.30%,Reliable,,Housing Stability; Emergency Supply and Distribution of Food; Access to Temporary Housing,"$1,888,875 ",149 individuals,Program
13946,Z03.05.02,Interfaith Hospitality Networ…,Interfaith Hospitality Network of Greater Fort Wayne (Just Neighbors Interfaith Homeless Network),2019 Emergency Shelter Final Report,302,0.08%,302,"$1,838 ",100.00%,Needs Improvement,,Personal Well-Being; Reduce Homelessness,"$555,124 ",302 individuals,Program
13951,Z04.02.03,Centre for Race and Culture,Centre for Race and Culture,Unheard Youth Voices,100,0.16%,67,"$1,925 ",95.70%,Reliable,,Civic Engagement,"$128,982 ",70 individuals,Program
13952,Z04.02.03,North Shore Multicultural Soc…,North Shore Multicultural Society,Weaving our Humanity - Community Conversations and Forum,192,0.32%,192,$182 ,96.00%,Reliable,,Societal Participation,"$35,000 ",200 individuals,Program
13953,Z04.02.03,Council of Agencies Serving S…,Council of Agencies Serving South Asians,Intercultural Collaborative,225,0.37%,225,$774 ,90.40%,Reliable,,Organizational Effectiveness; Societal Participation; Acquire Employment,"$174,169 ",249 individuals,Program
13955,Z03.05.02,American Red Cross Philadelph…,American Red Cross Philadelphia Chapter,Red Cross House - Center for Disaster Recovery,949,0.25%,949,"$1,531 ",100.00%,Needs Improvement,,Emergency Supply and Distribution of Food,"$1,453,377 ",949 individuals,Program
13956,Z03.04.03,Community Housing Solutions o…,"Community Housing Solutions of Guilford, Inc.",Home Repair Program,342,0.09%,342,"$2,773 ",90.00%,Reliable,,None Listed,"$948,384 ",380 individuals,Program
13957,Z03.03.01,"Loaves and Fishes Ministries,…","Loaves and Fishes Ministries, Inc.",Loaves and Fishes Ministries Soup Kitchen Program,5000,1.29%,"6,265",$14 ,100.00%,Needs Improvement,,None Listed,"$89,682 ","6,265 individuals",Program
13959,Z03.04.03,Rebuilding Together Philadelp…,Rebuilding Together Philadelphia,Block Builds 2018-19,100,0.03%,62,"$15,169 ",100.00%,Reliable: Best in Class,,Reduce Homelessness; Prevent Literal Homelessness through Housing Stabilization; Prevent Literal Homelessness through Housing Retention,"$940,500 ",62 households,Program
13960,Z03.02.02,Turnstone Center for Children…,"Turnstone Center for Children and Adults with Disabilities, Inc.",Turnstone’s Self Reliance Programs,3091,0.80%,"3,091","$2,211 ",90.00%,Reliable,,Patient Quality of Life; Access to Quality Resources; Social Competence; Social and Emotional Skills; Social and Emotional Gains,"$6,834,005 ","3,434 individuals",Program
